,地区,确诊,治愈,死亡
0,湖北,19665,633,549
1,浙江,954,81,0
2,广东,944,49,0
3,河南,851,54,2
4,湖南,711,56,0
5,江西,600,37,0
6,安徽,591,23,0
7,重庆,389,15,2
8,江苏,373,26,0
9,山东,343,18,0
10,四川,321,27,1
11,上海,254,15,1
12,北京,253,24,1
13,黑龙江,227,7,3
14,福建,205,11,0
15,广西,168,14,0
16,陕西,165,6,0
17,河北,157,7,1
18,云南,128,5,0
19,海南,105,5,1
20,山西,90,5,0
21,辽宁,89,4,0
22,贵州,69,6,1
23,天津,69,2,1
24,甘肃,62,6,0
25,吉林,59,2,0
26,内蒙古,46,4,0
27,宁夏,40,1,0
28,新疆,36,0,0
29,香港,21,0,1
30,青海,18,3,0
31,台湾,11,0,0
32,澳门,10,0,0
33,西藏,1,0,0
